block_number,block_time,tx_hash,tx_index,from_addr,to_addr,mev_bot_label,base_fees,priority_fees,cb_transfer,mev_value,volume,token_bought_amount,token_sold_amount,token_bought_contract,token_sold_contract,token_bought_symbol,token_sold_symbol,pair,multi_trade,builder_label
17872847,2023-08-08 21:21:47.000 UTC,0x6736eacf2e3febb648e638eb352a107df0e740afb61794ee8f74679e64e70198,8,0x9aab3f81604c683a1a0d14019fbfe15bef7aa1ee,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.0056996431221451255,0,0.020893722805203668,0.020893722805203668,19466.513496549298,0.64948629,19561.191406,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,USDC-WBTC,0,beaverbuild
17872847,2023-08-08 21:21:47.000 UTC,0x885eb18be629ff1968940ab8d4b53b071bbf8ac8d832d6346724fa607aaf113b,4,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.003352097882364429,0,0.03405370785562379,0.03405370785562379,64893.0893475116,2.16511148,65206.727816,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,USDC-WBTC,0,beaverbuild
17866743,2023-08-08 00:51:11.000 UTC,0x6bbd4bc699003ba9a9eeb23440dd51e65af1a4711ba3e800fcdcb7d626d95d19,3,0x93f635372008b7c5d770aaa6ff313454c8dc498c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.001967359967121852,0,0.000933326520037175,0.000933326520037175,32624.433028233234,17.84013486459484,32666.926767,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,ETH,USDT,USDT-WETH,0,beaverbuild
17871947,2023-08-08 18:19:47.000 UTC,0x24bdcf5cee7d9975c554f78b462bf9aa9c8c35fe438be85b7deab8529c63286a,45,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.005591035181302471,0.000004961140441668,0,0.000004961140441668,120285.39492010511,64.84003370156223,120982.606837,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,builder0x69
17871925,2023-08-08 18:15:23.000 UTC,0xead507aa29c7ba4e81439f181ffe95c8c3fb0c1c16daa475d3eac6553c7dde1e,7,0x0b275aaeb7e834520f34a24027091edba49b7a58,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.005133397964043218,0,0.001603077155888437,0.001603077155888437,61869.21042478115,33.350696414110836,62096.263318,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,beaverbuild
17873285,2023-08-08 22:50:23.000 UTC,0xe1b1dd303cde3a5b9ba017fcfc4fd261b43ad5e96181097308929ba94c03e5d1,1,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.00421060427662105,0,0.002970381132145326,0.002970381132145326,2635.367459900321,9241.559141248585,1.418106975414111,0x5283d291dbcf85356a21ba090e6db59121208b44,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BLUR,ETH,BLUR-WETH,0,beaverbuild
17869286,2023-08-08 09:23:23.000 UTC,0xf760f05e74352d0805bde68b1f6aa5238833430c83aaaeb1e2ca0e7ee1c5b0e2,2,0x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.0019916777412960843,0,0.000249882392330052,0.000249882392330052,2720.525582303669,1.4869510178747647,3762.42809612698,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,ETH,IMX,IMX-WETH,0,beaverbuild
17870302,2023-08-08 12:48:11.000 UTC,0x26b2d75d4feddf550532745bbc70e10d2e3ebbd5f13a9c7116d87f6e3a379d6c,4,0x60b86af869f23aeb552fb7f3cabd11b829f6ab2f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.0026356384810924632,0,0.002445551633759098,0.002445551633759098,16765.899414279273,24612.776459773384,9.10724923912744,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MATIC,ETH,MATIC-WETH,0,beaverbuild
17869768,2023-08-08 11:00:23.000 UTC,0x90dc9e5ecc371483f90af882e04c38b0ee039ace29facfa13dd32c35b9aa6f0f,2,0x24affae9c683b7615d4130300288e348e4b5d091,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,SCP,0.002917329863593761,0,0.028686880713415904,0.028686880713415904,54484.431851699104,1.86372171,54499.51997,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,USDC-WBTC,0,beaverbuild
17872839,2023-08-08 21:20:11.000 UTC,0xdd21f1cf7d2d9bd05f9e217b3bd29145909dffed7ed4ee7f1f2dd6eeb7db1eb6,8,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.003240152235732712,0,0.001696530739709423,0.001696530739709423,78560.35831479533,42.11696750360284,78647.263784,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,beaverbuild
